id,country,country_code,continent,destination,activity_name,category,description,best_season,recommended_duration_hours,budget_tier_estimate,family_friendly,traveler_types,keywords,source_official,source_title,source_url,rag_text
JP001,Japan,JP,Asia,Tokyo,See Shibuya Crossing and nearby city districts,urban_landmarks,"Best for travelers who want a fast-paced intro to modern Tokyo, people-watching, shopping, food, and nightlife in central neighborhoods.","spring, autumn",4,medium,yes,first_time_visitors|foodies|city_explorers,"Tokyo, Shibuya, city, nightlife, shopping, food, modern Japan",yes,15 Awesome Things to Do in Tokyo,https://www.japan.travel/en/au/story/15-awesome-things-do-tokyo/,"Japan - Tokyo. Activity: See Shibuya Crossing and nearby city districts. Category: urban landmarks. Best for travelers who want a fast-paced intro to modern Tokyo, people-watching, shopping, food, and nightlife in central neighborhoods. Best time: spring, autumn. Budget: medium. Good for: first_time_visitors, foodies, city_explorers. Keywords: Tokyo, Shibuya, city, nightlife, shopping, food, modern Japan."
JP002,Japan,JP,Asia,Kyoto,"Explore shrines, temples, and historic streets",cultural_heritage,"A strong fit for travelers looking for classic Japanese history, traditional neighborhoods, temples, shrines, and a slower cultural pace.","spring, autumn",6,medium,yes,culture_seekers|first_time_visitors|photographers,"Kyoto, temples, shrines, historic streets, culture, heritage, Japan",yes,Kyoto | Kansai | Destinations,https://www.japan.travel/en/destinations/kansai/kyoto/,"Japan - Kyoto. Activity: Explore shrines, temples, and historic streets. Category: cultural heritage. A strong fit for travelers looking for classic Japanese history, traditional neighborhoods, temples, shrines, and a slower cultural pace. Best time: spring, autumn. Budget: medium. Good for: culture_seekers, first_time_visitors, photographers. Keywords: Kyoto, temples, shrines, historic streets, culture, heritage, Japan."
JP003,Japan,JP,Asia,Osaka,Visit Osaka Castle and Dotonbori,city_highlights,"Great for travelers who want a mix of major landmarks, street food, nightlife, and lively entertainment in Kansai.","spring, autumn",5,medium,yes,foodies|city_explorers|groups,"Osaka, Dotonbori, Osaka Castle, street food, nightlife, Kansai",yes,"Kansai Itinerary | Osaka, Dotonbori & Historic Temples",https://www.japan.travel/en/in/itineraries/kansai-new/,"Japan - Osaka. Activity: Visit Osaka Castle and Dotonbori. Category: city highlights. Great for travelers who want a mix of major landmarks, street food, nightlife, and lively entertainment in Kansai. Best time: spring, autumn. Budget: medium. Good for: foodies, city_explorers, groups. Keywords: Osaka, Dotonbori, Osaka Castle, street food, nightlife, Kansai."
FR001,France,FR,Europe,Paris,"See Eiffel Tower, Notre-Dame, and classic central neighborhoods",city_highlights,"Ideal for first-time visitors who want iconic landmarks, museums, historic neighborhoods, and a walkable city experience.","spring, early autumn",6,high,yes,first_time_visitors|couples|art_lovers,"Paris, Eiffel Tower, Notre-Dame, Louvre, Montmartre, city break",yes,Paris - Explore France,https://www.france.fr/en/destination/paris/,"France - Paris. Activity: See Eiffel Tower, Notre-Dame, and classic central neighborhoods. Category: city highlights. Ideal for first-time visitors who want iconic landmarks, museums, historic neighborhoods, and a walkable city experience. Best time: spring, early autumn. Budget: high. Good for: first_time_visitors, couples, art_lovers. Keywords: Paris, Eiffel Tower, Notre-Dame, Louvre, Montmartre, city break."
FR002,France,FR,Europe,Loire Valley,Tour Loire Valley châteaux,cultural_heritage,"Recommended for travelers interested in castles, French Renaissance history, gardens, and scenic countryside day trips.","spring, summer, early autumn",8,medium,yes,history_lovers|families|road_trippers,"Loire Valley, castles, chateaux, Chambord, Chenonceau, gardens",yes,Loire Valley - Explore France,https://www.france.fr/en/destination/loire-valley/,"France - Loire Valley. Activity: Tour Loire Valley châteaux. Category: cultural heritage. Recommended for travelers interested in castles, French Renaissance history, gardens, and scenic countryside day trips. Best time: spring, summer, early autumn. Budget: medium. Good for: history_lovers, families, road_trippers. Keywords: Loire Valley, castles, chateaux, Chambord, Chenonceau, gardens."
FR003,France,FR,Europe,Bordeaux,Follow a wine route and explore the historic center,food_and_wine,"A solid option for travelers interested in wine regions, gastronomy, elegant architecture, and relaxed city wandering.","spring, autumn",6,high,moderate,foodies|couples|slow_travelers,"Bordeaux, wine, vineyards, gastronomy, historic center, France",yes,Bordeaux: Uncork a lifetime of experiences,https://www.france.fr/en/article/bordeaux-what-to-do-what-to-see/,"France - Bordeaux. Activity: Follow a wine route and explore the historic center. Category: food and wine. A solid option for travelers interested in wine regions, gastronomy, elegant architecture, and relaxed city wandering. Best time: spring, autumn. Budget: high. Good for: foodies, couples, slow_travelers. Keywords: Bordeaux, wine, vineyards, gastronomy, historic center, France."
IT001,Italy,IT,Europe,Rome,Explore ancient Rome and major landmarks,cultural_heritage,"Best for travelers who want archaeological sites, famous squares, churches, and a dense concentration of historic landmarks.","spring, autumn",8,medium,yes,history_lovers|first_time_visitors|culture_seekers,"Rome, Colosseum, Roman Forum, piazzas, history, Italy",yes,Rome: Attractions to see & Things to do,https://www.italia.it/en/lazio/rome,"Italy - Rome. Activity: Explore ancient Rome and major landmarks. Category: cultural heritage. Best for travelers who want archaeological sites, famous squares, churches, and a dense concentration of historic landmarks. Best time: spring, autumn. Budget: medium. Good for: history_lovers, first_time_visitors, culture_seekers. Keywords: Rome, Colosseum, Roman Forum, piazzas, history, Italy."
IT002,Italy,IT,Europe,Florence,Visit Renaissance landmarks and major museums,arts_and_museums,"Well suited to art lovers and short city-break travelers looking for museums, piazzas, architecture, and walkable streets.","spring, autumn",6,medium,yes,art_lovers|couples|culture_seekers,"Florence, Uffizi, Renaissance, museums, Tuscany, architecture",yes,Visit Florence: Things to do & Attractions - Tuscany,https://www.italia.it/en/tuscany/florence,"Italy - Florence. Activity: Visit Renaissance landmarks and major museums. Category: arts and museums. Well suited to art lovers and short city-break travelers looking for museums, piazzas, architecture, and walkable streets. Best time: spring, autumn. Budget: medium. Good for: art_lovers, couples, culture_seekers. Keywords: Florence, Uffizi, Renaissance, museums, Tuscany, architecture."
IT003,Italy,IT,Europe,Amalfi Coast,Visit scenic coastal towns and sea viewpoints,coastal_scenery,"A good match for travelers chasing dramatic coastal views, charming towns, leisurely dining, and photo-friendly seaside routes.","late spring, summer, early autumn",8,high,yes,couples|luxury_travelers|road_trippers,"Amalfi Coast, Positano, sea views, coastal towns, Campania, Italy",yes,The Amalfi Coast: what to see in UNESCO heritage,https://www.italia.it/en/campania/things-to-do/the-amalfi-coast,"Italy - Amalfi Coast. Activity: Visit scenic coastal towns and sea viewpoints. Category: coastal scenery. A good match for travelers chasing dramatic coastal views, charming towns, leisurely dining, and photo-friendly seaside routes. Best time: late spring, summer, early autumn. Budget: high. Good for: couples, luxury_travelers, road_trippers. Keywords: Amalfi Coast, Positano, sea views, coastal towns, Campania, Italy."
ES001,Spain,ES,Europe,Barcelona,Discover Gaudí architecture and the Gothic Quarter,city_highlights,"Great for travelers who want architecture, design, urban culture, food, and a city-with-beach atmosphere.","spring, early autumn",6,medium,yes,first_time_visitors|art_lovers|city_explorers,"Barcelona, Gaudi, Gothic Quarter, architecture, food, Spain",yes,"Barcelona, what to see and do",https://www.spain.info/en/destination/barcelona/,"Spain - Barcelona. Activity: Discover Gaudí architecture and the Gothic Quarter. Category: city highlights. Great for travelers who want architecture, design, urban culture, food, and a city-with-beach atmosphere. Best time: spring, early autumn. Budget: medium. Good for: first_time_visitors, art_lovers, city_explorers. Keywords: Barcelona, Gaudi, Gothic Quarter, architecture, food, Spain."
